NameTabelle;Revision;Kommentar
Kompetenzen;0;Initialisierung
Kompetenzgruppen;0;Initialisierung
Schildintern_AbiturInfos;0;Initialisierung
Schildintern_Berufsebene;0;Initialisierung
Schildintern_Datenart;0;Initialisierung
Schildintern_DQR_Niveaus;0;Initialisierung
Schildintern_Fachgruppen;0;Initialisierung
Schildintern_FaecherSortierung;0;Initialisierung
Schildintern_FilterFehlendeEintraege;0;Initialisierung
Schildintern_FilterFeldListe;0;Initialisierung
Schildintern_HSchStatus;0;Initialisierung
Schildintern_K_Schulnote;0;Initialisierung
Schildintern_KAoA_Anschlussoption;0;Initialisierung
Schildintern_KAoA_Berufsfeld;0;Initialisierung
Schildintern_KAoA_Kategorie;0;Initialisierung
Schildintern_KAoA_Merkmal;0;Initialisierung
Schildintern_KAoA_SBO_Ebene4;0;Initialisierung
Schildintern_KAoA_Zusatzmerkmal;0;Initialisierung
Schildintern_Laender;0;Initialisierung
Schildintern_PrfSemAbschl;0;Initialisierung
Schildintern_PruefOrd_Optionen;0;Initialisierung
Schildintern_PruefungsOrdnung;0;Initialisierung
Schildintern_SchuelerImpExp;0;Initialisierung
Schildintern_SpezialFilterFelder;0;Initialisierung
Schildintern_TextExport;0;Initialisierung
Schildintern_UnicodeUmwandlung;0;Initialisierung
Schildintern_VerfImportFelder;0;Initialisierung
Schildintern_VerfImportTabellen;0;Initialisierung
Schildintern_Zusatzinfos;0;Initialisierung
Schulver_DBS;0;Initialisierung
Schulver_Schulformen;0;Initialisierung
Schulver_Schultraeger;0;Initialisierung
Schulver_WeitereSF;0;Initialisierung
Statkue_Abgangsart;0;Initialisierung
Statkue_AllgMerkmale;0;Initialisierung
Statkue_AndereGrundschulen;0;Initialisierung
Statkue_Bilingual;0;Initialisierung
Statkue_Einschulungsart;0;Initialisierung
Statkue_Fachklasse;0;Initialisierung
Statkue_Foerderschwerpunkt;0;Initialisierung
Statkue_Gliederung;0;Initialisierung
Statkue_Herkunftsart;0;Initialisierung
Statkue_Herkunftsschulform;0;Initialisierung
Statkue_LehrerAbgang;0;Initialisierung
Statkue_LehrerAnrechnung;0;Initialisierung
Statkue_LehrerBeschaeftigungsart;0;Initialisierung
Statkue_LehrerEinsatzstatus;0;Initialisierung
Statkue_LehrerFachrAnerkennung;0;Initialisierung
Statkue_LehrerFachrichtung;0;Initialisierung
Statkue_LehrerLehramt;0;Initialisierung
Statkue_LehrerLehramtAnerkennung;0;Initialisierung
Statkue_LehrerLehrbefaehigung;0;Initialisierung
Statkue_LehrerLehrbefAnerkennung;0;Initialisierung
Statkue_LehrerLeitung;0;Initialisierung
Statkue_LehrerMehrleistung;0;Initialisierung
Statkue_LehrerMinderleistung;0;Initialisierung
Statkue_LehrerRechtsverhaeltnis;0;Initialisierung
Statkue_LehrerZugang;0;Initialisierung
Statkue_Nationalitaeten;0;Initialisierung
Statkue_Organisationsform;0;Initialisierung
Statkue_PLZOrt;0;Initialisierung
Statkue_Reformpaedagogik;0;Initialisierung
Statkue_Religionen;0;Initialisierung
Statkue_SchuelerErsteSchulformSekI;0;Initialisierung
Statkue_SchuelerKindergartenbesuch;0;Initialisierung
Statkue_SchuelerUebergangsempfehlung5Jg;0;Initialisierung
Statkue_SchuelerVerkehrssprache;0;Initialisierung
Statkue_Schulformen;0;Initialisierung
Statkue_Strassen;0;Initialisierung
Statkue_SVWS_BKAnlagen;0;Initialisierung
Statkue_SVWS_Fachgruppen;0;Initialisierung
Statkue_SVWS_Schulgliederungen;0;Initialisierung
Statkue_SVWS_ZulaessigeFaecher;0;Initialisierung
Statkue_SVWS_ZulaessigeJahrgaenge;0;Initialisierung
Statkue_SVWS_ZulaessigeKursarten;0;Initialisierung
Statkue_ZulFaecher;0;Initialisierung
Statkue_ZulJahrgaenge;0;Initialisierung
Statkue_ZulKlArt;0;Initialisierung
Statkue_ZulKuArt;0;Initialisierung
